Draw Date,Draw Schedule,First Number,Second Number,Third Number
7/9/2019,Morning,8,1,3
7/9/2019,Evening,2,3,0
7/10/2019,Morning,9,9,5
7/10/2019,Evening,2,3,2
7/11/2019,Morning,4,3,2
7/11/2019,Evening,3,6,2
7/12/2019,Morning,4,2,2
7/12/2019,Evening,5,1,0
7/13/2019,Morning,1,3,6
7/13/2019,Evening,1,2,4
7/14/2019,Morning,9,5,4
7/14/2019,Evening,3,1,8
7/15/2019,Morning,7,7,3
7/15/2019,Evening,9,6,1
7/16/2019,Morning,6,7,2
7/16/2019,Evening,6,5,5
7/17/2019,Morning,8,3,5
7/17/2019,Evening,0,3,1
7/18/2019,Morning,8,6,6
7/18/2019,Evening,1,8,4
7/19/2019,Morning,6,9,7
7/19/2019,Evening,4,5,2
7/20/2019,Morning,4,8,6
7/20/2019,Evening,0,2,0
7/21/2019,Morning,2,9,6
7/21/2019,Evening,0,5,4
7/22/2019,Morning,1,3,9
7/22/2019,Evening,6,8,2
7/23/2019,Morning,8,5,3
7/23/2019,Evening,7,3,3
7/24/2019,Morning,3,3,9
7/24/2019,Evening,5,9,9
7/25/2019,Morning,5,8,8
7/25/2019,Evening,9,6,8
7/26/2019,Morning,9,5,9
7/26/2019,Evening,3,5,0
7/27/2019,Morning,8,5,5
7/27/2019,Evening,8,6,5
7/28/2019,Morning,5,9,1
7/28/2019,Evening,5,5,2
7/29/2019,Morning,3,9,1
7/29/2019,Evening,1,2,7
7/30/2019,Morning,1,6,6
7/30/2019,Evening,2,1,5
6/1/2019,Morning,2,0,4
6/1/2019,Evening,1,1,4
6/2/2019,Morning,6,9,7
6/2/2019,Evening,8,5,6
6/3/2019,Morning,8,4,0
6/3/2019,Evening,5,9,5
6/4/2019,Morning,6,9,4
6/4/2019,Evening,4,3,5
6/5/2019,Morning,5,5,1
6/5/2019,Evening,9,5,7
6/6/2019,Morning,1,5,7
6/6/2019,Evening,8,6,7
6/7/2019,Morning,3,4,9
6/7/2019,Evening,9,3,2
6/8/2019,Morning,4,2,7
6/8/2019,Evening,7,5,8
6/9/2019,Morning,7,6,1
6/9/2019,Evening,6,1,2
7/10/2019,Morning,3,6,5
7/10/2019,Evening,0,3,2
7/11/2019,Morning,2,2,4
7/11/2019,Evening,2,8,1
7/12/2019,Morning,2,1,3
7/12/2019,Evening,0,8,4
7/13/2019,Morning,1,0,5
7/13/2019,Evening,7,2,3
7/14/2019,Morning,1,2,4
7/14/2019,Evening,3,7,8
7/15/2019,Morning,9,9,9
7/15/2019,Evening,0,9,6
7/16/2019,Morning,5,1,0
7/16/2019,Evening,7,7,4
7/17/2019,Morning,3,2,3
7/17/2019,Evening,7,1,1
7/18/2019,Morning,5,1,9
7/18/2019,Evening,6,5,3
7/19/2019,Morning,1,0,5
7/19/2019,Evening,0,5,7
7/20/2019,Morning,0,9,8
7/20/2019,Evening,4,4,8
7/21/2019,Morning,4,7,5
7/21/2019,Evening,7,6,2
7/22/2019,Morning,4,8,3
7/22/2019,Evening,4,4,9
7/23/2019,Morning,2,2,9
7/23/2019,Evening,1,8,5
7/24/2019,Morning,5,8,8
7/24/2019,Evening,6,7,2
7/25/2019,Morning,8,7,3
7/25/2019,Evening,4,3,7
7/26/2019,Morning,1,3,4
7/26/2019,Evening,5,4,7
7/27/2019,Morning,3,2,4
7/27/2019,Evening,4,7,0
7/28/2019,Morning,0,9,1
7/28/2019,Evening,4,4,0
7/29/2019,Morning,6,7,3
7/29/2019,Evening,8,0,1
7/30/2019,Morning,8,5,4
7/30/2019,Evening,0,9,6
7/31/2019,Morning,6,2,0
7/31/2019,Evening,4,7,9
6/1/2019,Morning,9,3,1
6/1/2019,Evening,4,5,7
6/2/2019,Morning,7,0,4
6/2/2019,Evening,7,6,2
6/3/2019,Morning,1,0,2
6/3/2019,Evening,9,8,7
6/4/2019,Morning,6,0,8
6/4/2019,Evening,7,1,0
6/5/2019,Morning,4,9,9
6/5/2019,Evening,5,4,0
6/6/2019,Morning,9,7,9
6/6/2019,Evening,5,0,1
6/7/2019,Morning,2,8,8
6/7/2019,Evening,0,3,0
6/8/2019,Morning,9,6,8
6/8/2019,Evening,1,2,3
6/9/2019,Morning,0,6,1
6/9/2019,Evening,4,4,8
7/10/2019,Morning,1,9,0
7/10/2019,Evening,3,2,1
7/11/2019,Morning,5,5,3
7/11/2019,Evening,0,5,5
7/12/2019,Morning,4,3,6
7/12/2019,Evening,1,2,2
7/13/2019,Morning,3,6,9
7/13/2019,Evening,0,1,0
7/14/2019,Morning,3,4,1
7/14/2019,Evening,8,4,7
7/15/2019,Morning,3,2,1
7/15/2019,Evening,1,1,1
7/16/2019,Morning,6,3,4
7/16/2019,Evening,2,7,7
7/17/2019,Morning,7,6,9
7/17/2019,Evening,7,9,9
7/18/2019,Morning,3,1,3
7/18/2019,Evening,1,9,9
7/19/2019,Morning,7,9,2
7/19/2019,Evening,7,9,4
7/20/2019,Morning,6,8,8
7/20/2019,Evening,2,9,3
7/21/2019,Morning,0,3,5
7/21/2019,Evening,2,2,0
7/22/2019,Morning,1,3,6
7/22/2019,Evening,7,3,8
7/23/2019,Morning,6,7,6
7/23/2019,Evening,5,9,1
7/24/2019,Morning,0,2,1
7/24/2019,Evening,1,4,5
7/25/2019,Morning,2,2,0
7/25/2019,Evening,7,0,3
7/26/2019,Morning,1,5,9
7/26/2019,Evening,9,9,5
7/27/2019,Morning,3,6,3
7/27/2019,Evening,0,1,1
7/28/2019,Morning,3,9,2
7/28/2019,Evening,8,4,9
7/29/2019,Morning,5,3,4
7/29/2019,Evening,6,0,7
7/30/2019,Morning,2,3,2
7/30/2019,Evening,3,2,8
6/1/2019,Morning,8,5,7
6/1/2019,Evening,8,4,2
6/2/2019,Morning,8,4,8
6/2/2019,Evening,3,0,3
6/3/2019,Morning,6,5,1
6/3/2019,Evening,9,9,4
6/4/2019,Morning,9,7,3
6/4/2019,Evening,5,7,5
6/5/2019,Morning,9,0,2
6/5/2019,Evening,2,5,9
6/6/2019,Morning,8,5,7
6/6/2019,Evening,1,7,6
6/7/2019,Morning,0,2,7
6/7/2019,Evening,0,0,8
6/8/2019,Morning,0,5,3
6/8/2019,Evening,1,0,0
6/9/2019,Morning,5,8,6
6/9/2019,Evening,1,6,8
7/10/2019,Morning,5,5,2
7/10/2019,Evening,2,7,6
7/11/2019,Morning,6,9,4
7/11/2019,Evening,2,7,6
7/12/2019,Morning,4,4,2
7/12/2019,Evening,7,3,2
7/13/2019,Morning,8,5,7
7/13/2019,Evening,6,0,3
7/14/2019,Morning,4,7,6
7/14/2019,Evening,6,4,8
7/15/2019,Morning,8,8,6
7/15/2019,Evening,9,3,8
7/16/2019,Morning,0,8,3
7/16/2019,Evening,5,4,8
7/17/2019,Morning,7,8,8
7/17/2019,Evening,9,0,6
7/18/2019,Morning,9,0,3
7/18/2019,Evening,0,0,6
7/19/2019,Morning,9,9,5
7/19/2019,Evening,3,8,2
7/20/2019,Morning,0,7,5
7/20/2019,Evening,4,7,8
7/21/2019,Morning,1,8,7
7/21/2019,Evening,4,8,5
7/22/2019,Morning,3,6,3
7/22/2019,Evening,0,1,5
7/23/2019,Morning,2,9,9
7/23/2019,Evening,8,7,6
7/24/2019,Morning,0,6,6
7/24/2019,Evening,6,3,1
